sample,number of pairs analyzed,total pairs passed,total reads pass,host read pairs filtered,total pairs after host removal,total reads after host removal,percent host reads,total pairs passed (percent of all pairs),total pair_1 trimmed,total pair_1 trimmed (percent of all passed pairs),total pair_2 trimmed,total pair_2 trimmed (percent of all passed pairs),total pairs failed,total pairs failed (percent of all pairs),pairs failed due to pair_1,pairs failed due to pair_1 (percent of all failed pairs),pairs failed due to pair_2,pairs failed due to pair_2 (percent of all failed pairs),pairs failed due to both,pairs failed due to both (percent of all failed pairs),FAILED_REASON_P,FAILED_REASON_P (percent of all failed pairs),FAILED_REASON_N,FAILED_REASON_N (percent of all failed pairs),FAILED_REASON_C33,FAILED_REASON_C33 (percent of all failed pairs),FAILED_REASON_C33 (percent of all failed pairs)
C02_S104,26513204,23467500,46935000,589,23466911,46933822,0.002221534598,88.51,1992315,8.49,6436098,27.43,3045704,11.49,370800,12.17,1504554,49.4,1170350,38.43,0,0,0,0,0,0,0
C02_S106,30480580,26898538,53797076,4725,26893813,53787626,0.01550167352,88.25,2204443,8.2,6997680,26.02,3582042,11.75,420876,11.75,1765964,49.3,1395202,38.95,0,0,0,0,0,0,0
C02_S111,29942131,26759006,53518012,1303,26757703,53515406,0.004351727671,89.37,2365966,8.84,7333228,27.4,3183125,10.63,436882,13.72,1485616,46.67,1260627,39.6,0,0,0,0,0,0,0
C02_S112,25262104,22520452,45040904,838,22519614,45039228,0.003317221717,89.15,2085406,9.26,6170724,27.4,2741652,10.85,387160,14.12,1241172,45.27,1113320,40.61,0,0,0,0,0,0,0
C02_S113,28375384,25754487,51508974,643,25753844,51507688,0.002266048629,90.76,2052137,7.97,6096490,23.67,2620897,9.24,439588,16.77,1104462,42.14,1076847,41.09,0,0,0,0,0,0,0
C02_S115,22302102,19619459,39238918,98,19619361,39238722,0.0004394204636,87.97,1696823,8.65,5275891,26.89,2682643,12.03,319816,11.92,1319989,49.2,1042838,38.87,0,0,0,0,0,0,0
D03_S25,23993557,21018123,42036246,167,21017956,42035912,0.0006960201858,87.6,1798644,8.56,5908768,28.11,2975434,12.4,348846,11.72,1516284,50.96,1110304,37.32,0,0,0,0,0,0,0
D03_S26,19736275,17204564,34409128,534,17204030,34408060,0.002705677743,87.17,1304848,7.58,4383006,25.48,2531711,12.83,271847,10.74,1300273,51.36,959591,37.9,0,0,0,0,0,0,0
D03_S27,23637209,20890481,41780962,298,20890183,41780366,0.00126072414,88.38,1810428,8.67,5394919,25.82,2746728,11.62,358818,13.06,1315799,47.9,1072111,39.03,0,0,0,0,0,0,0
D03_S28,19562229,17155682,34311364,393,17155289,34310578,0.002008973517,87.7,1448248,8.44,4571782,26.65,2406547,12.3,289781,12.04,1152396,47.89,964370,40.07,0,0,0,0,0,0,0
D03_S31,23989230,21427989,42855978,2498,21425491,42850982,0.01041300617,89.32,2268030,10.58,6085174,28.4,2561241,10.68,414660,16.19,1112614,43.44,1033967,40.37,0,0,0,0,0,0,0
D03_S32,22233110,19467421,38934842,2917,19464504,38929008,0.01312007182,87.56,1560716,8.02,4910079,25.22,2765689,12.44,311413,11.26,1365052,49.36,1089224,39.38,0,0,0,0,0,0,0
D03_S33,22129067,19600854,39201708,452,19600402,39200804,0.002042562391,88.58,1705816,8.7,5074544,25.89,2528213,11.42,327507,12.95,1207465,47.76,993241,39.29,0,0,0,0,0,0,0
D03_S34,18687775,16184262,32368524,316,16183946,32367892,0.001690945016,86.6,1284702,7.94,4235036,26.17,2503513,13.4,246640,9.85,1302766,52.04,954107,38.11,0,0,0,0,0,0,0
D03_S35,20513598,17851455,35702910,155,17851300,35702600,0.000755596361,87.02,1375263,7.7,4718155,26.43,2662143,12.98,262093,9.85,1446255,54.33,953795,35.83,0,0,0,0,0,0,0
D03_S37,33675630,30121606,60243212,409,30121197,60242394,0.001214528132,89.45,2516096,8.35,7768399,25.79,3554024,10.55,528718,14.88,1660146,46.71,1365160,38.41,0,0,0,0,0,0,0